id,description,rank_score
226566876," the rock climbing anchors class includes minimum 4 hours of hands on training in all fundamentals of setting up top rope anchors . a must take class if you want to start climbing outdoors on your own . the goal of the class is to learn how to set up safe rock climbing anchor systems where the belay is at the bottom of the cliff . you will learn what not to do  ,  practice several new knots and methods for setting up bomber top rope anchor systems . cost  :  179 use promo code awesome20 for discount . what is covered top rope anchors safety and instruction by demonstration and hands on practices equipment needed for natural  ,  fixed and pro anchors how to evaluate areas to be used and protection fundamental knots how to build and remove anchors how to rappel communication and vocabulary all equipment is provided  (  this is not a beginner s class . anyone taking an anchors class  ,  should already have some basic climbing experience and knowledge of what is a harness  ,  belay carabiner  ,  and belay device  (  s  )  . feel free to bring your own.  )  ",0.04
tzqrclytjbdb," blender weekly class series design 3d modeling prereq  :  intro to blender cost  :  10 students are expected to bring their own laptops for use with blender . want to learn to create amazing 3d designs for 3d print but do  n't have several grand to drop on the latest copy of maya . never fear 3d printing enthusiast  !  our instructor maya dinan will run you through the paces to get you up and running in the 100 free  ,  100 open source 3d modeling tool blender . blender is an amazing tool that competes at the level of commercial tools like autodesk maya or rhino 3d and is offered to the public free of charge thanks to countless volunteers who have dedicated their time to making this software great . this class is an ongoing weekly class session that will get anyone up to speed with blender regardless of their level . it will touch on the different topics in blender week to week to make sure even veterans will stay engaged and learn every in and out of the blender 3d modeling software for use in 3d printing  ,  video games  ,  television  ,  or film  !  ",0.044
225694134," hello adventure riders  ,  want to burn off thanksgiving dinner  ?  do  n't want to participate in black friday consumption  (  optoutside  )   ?  how about a trip out to san luis obispo  ?  we  'll spend our time riding around the area  ,  morro bay  ,  and paso robles . the train tickets will cost approximately 83 round trip with a aaa discount from los angeles . we may also have a carpool for those coming further away . camping costs will be about 10 for 2 nights hiker biker stay . i will provide route maps and gps files for those who rsvp to go . cheers  ,  johnny lam masked  (  818  )  masked ",0.46
grjkklytmblc," north bollywood  !  monday class for all levels at debbie reynolds dance studio learn the beautiful art of bollywood dancing from achinta s . mcdaniel  ,  teacher of la  's longest running bollywood dance classes and director of the world famous blue13 dance company . expect a whirlwind hour of high energy bollywood  ,  bhangra  ,  classical indian techniques  ,  and powerful and thrilling choreography set to the best bollywood soundtracks . all levels welcome . come and sweat  !  ",0.05
pxzwgmywhbpb," the 78 tarot cards function as keys to the subconscious that hidden part of our minds that influences and drives conscious actions and words . in tarot gateways we use tarot to tap into the power of the subconscious mind to understand ourselves better and release outworn patterns . explore your strengths and shadows and connect with the archetypal energy of the tarot in a deeply personal way via meditation . each class will begin with a brief discussion of the imagery  ,  symbols  ,  and meanings of a chosen tarot card  ,  followed by a guided meditation on a theme related to that card . join us if you would like to  :  connect with your guides amp  ;  develop your intuition remove blockages that are keeping you from reaching your full potential gain insight into tarot card meanings by making a personal connection to each card tarot gateways will be led using the rider waite smith tarot . when  :  tuesdays 10  :  00am 11  :  00am  ;  6  :  30 pm 7  :  30pm thursdays 10  :  00am 11  :  00am cost  :  1 class 18.00 5 class package 75.00  (  15.00 per class  )  10 class package 125.00  (  12.50 per class  )  unlimited classes 49.00 first month  ;  99.00 every following month choose from any class being offered at aum amp  ;  garden. to view available classes . all students  ,  new or existing  ,  qualify to enjoy one week of free classes at aum amp  ;  garden from november 1  ,  2016 to january 31  ,  2017 . after your free week  ,  classes may be purchased in person at aum amp  ;  garden . aum amp  ;  garden is located at 13363 ventura boulevard  ,  sherman oaks  ,  ca 91423 phone  :  masked ",0.056
221394421," the pot de confiture is the most performed play of laurent mourguet  ,  guignol s creator . collectif zonzons refreshes this classic and modernizes the old art of handpuppet . guignol is a greedy servant  ,  eating of all his master s jam supply whenever he can . mr . cassandre  ,  octave s father  ,  is about to fire him . sadly for octave  ,  his beautiful neighbor and fianc  ,  mrs . emily  ,  recommended guignol . and if she learns that her favorite servant is about to get fired  ,  she will cancel the wedding  ,  even though octave is madly in love with her  !  how is octave going to please everybody while dealing with guignol s cheekiness  ?  puppet show in french with english subtitles . for all ages  ,  children  (  3 and up  )  and adults alike  !  15 adult 10 student tickets at ",0.052
msmtklyvjbjc," join us  ,  tal and deira  (  aka stephanie and cynthia  )   ,  and our channeled spirit guides  ,  shen and terrek  ,  for a question and answer session where you bring your questions and the guides provide answers from the universe . past topics  (  based on questions  )  have included manifestation  ,  abundance  ,  co creation  ,  money  ,  relationships  ,  emotions  ,  metaphysics  ,  and more . the guides create a safe  ,  loving  ,  non judgmental space for you to ask your questions  ,  and no topics are off limits . bring your questions  ,  your curiosity  ,  and a willingness to expand  !  hope to see you there  !  p . s . if you get lost  ,  call us  !  714... 654... 4012 ",0.67
236285667," figure drawing on google hangouts  ,  join me for an hour of drawing  ,  bring your sketchbook and draw from home work starbucks or wherever you are  !  i  'll be broadcasting live from my youtube channel  ,  just join in draw and be a part of the discussion  !  link below  !  www . youtube.com c aliciadianne ",0.486
gcbfvmywgblc," restorative yin yoga gives you longer holds  ,  supported postures to relieve stress  ,  improve flexibility and and a peaceful calm mind . this class will be taught by one of the yogi tree  's graduating teacher trainers . thank you for your support  !  yin yoga comes from the taoist tradition of being in harmony with the rhythm and flow of nature . yin emphasizes long mindful holds  (  2 to 5 minutes  )  that promote growth  ,  clear energetic blockages and enhance circulation . yin is an excellent practice for increasing flexibility  ,  meditation  ,  injured active athletes  ,  and those new to yoga. ",0.324
kwzsslyvlbnc, both gym studio members amp  ;  non members allowed 15 drop in ,0.042
pdbqllytnbgc," come and join us for an evening of fun and turnon . how often do we get an opportunity to be real with each other in los angeles  ?  we play 3 communication game  (  no one takes off their clothes  )  and you can play at whatever level feels comfortable to you . you do  n't have to do anything you do  n't want to  ,  or answer any questions you do  n't want to answer . we do have fun . imagine meeting new people in an environment where people felt comfortable to be themselves . that  's what we have created . it  's a refreshing change from the typical networking or bar conversation . you get the opportunity to examine yourself . through other people putting quality attention on you  ,  asking questions with genuine curiosity  ,  and then listening really listening to your responses . what comes up might surprise you  !  at the end of the evening we will tell you all about how you can learn the practice of orgasmic meditation . what class you can take and what we have to offer so you can have the life that you want . it  's amazing how connected we can end up feeling even in a room full of strangers when we are willing to say what  's real . in an hour and some you may even forget for a moment you are in los angeles . onetaste los angeles is an organization teaches orgasmic meditation  ,  otherwise known as om . the games we play at turnon are designed to create the visceral sensation of orgasm om in your body  ,  without having to actually do the practice  (  or remove any clothing  !   )  . it  's a friendly invitation to play and push your edges in a way that feels good . this allows you to stretch yourself and inspires self discovery  !  we start on time so please arrive fifteen minutes early  ,  we close the doors at 8  :  10 . please do  n't be late  !  cost to attend is 10 . for info contact leah masked ",0.574
vhbkzmywhbtb," monday come draw a model at angel city brewery  !  monday  ,  may 1st fetish killer bunny with mather louth monday  ,  may 8th devil girl with catherine weiss monday  ,  may 15th tribal woman with meisha mock monday  ,  may 22nd zulu warrior with brittney siren monday  ,  may 29th magician  's assistant with jin n tonic  (  last time we will see her for about 3 months  ,  till she  's back from her long trip around the world.  )  new extended hours... . every monday 8  :  00 10  :  30pm time  :  8pm 10  :  30pm cost  :  only 20 21 only event prepay or pay at the door.. . angel city brewery 216 alameda st . los angeles  ,  ca 90012  (  213  )  masked bring another person and you can get a group discount . new punch cards come 4 times and get one free  !   !   !   !  ",0.044
232668176," sunday july 17th is national ice cream day so we are enjoying wine and ice cream flights  ,  sangria specials and buttermilk fried chicken the full dinner menu with our special only on sunday buttermilk fried chicken is also available as well as a full wine and beer list at 8 pm there will be a comedy show with jamarr john johnson and friends no cover just pay for what you consume  ,  mention meet up and get a complimentary house wine or ice cream with any entree www.wildela.com ",0.344
bvskknywlbgc," hi . if you are using the meetup mobile app on your phone  ,  look down a few lines below and tap the red colored read more to expand the description . tap this if you are using a computer or laptop notebook  ,  then you should be fine . okay  ,  everybody should now be able to see the full description on their screen . reminder for everyone  :  if meetup sends too many emails  ,  then look at the bottom of their email and click unsubscribe or manage your settings or account page . recommended for anyone new to this group or volunteering for the first time  :  five nights a week  ,  share a meal  (  food truck  )  supplies vegetarian burritos and bottled water to people at different locations . monday downtown la near little tokyo tuesday hollywood wednesday downtown la near usc thursday venice friday downtown la near olvera st  ,  union station  ,  amp  ;  chinatown all ingredients for the vegetarian burritos are provided by share a meal . volunteers are  n't required to bring any food . volunteers help inside the food truck and make  (  roll  )  the burritos . once all the burritos are finished and warmed up  ,  volunteers go out to distribute the food and water . each night location varies and is unpredictable . some nights can get crowded  ,  but they try to get everyone involved . even if nobody else from this group signs up  ,  other people  (  outside meetup  )  help  ,  so you wo  n't be alone . if 6  :  45pm is tough due to work or traffic  ,  arriving later is fine . making rolling the burritos is sometimes limited to a few volunteers because space inside the food truck is limited . for passing out the food and water  ,  more volunteers can be accommodated and everyone can get involved . note  :  you all know about la traffic . the food truck usually arrives around 6  :  45pm  ,  but if traffic is especially bad  ,  they might be a little late . if anyone arrives and the food truck is  n't there yet  ,  please consider waiting a few minutes . the food truck normally arrives by 7  :  00pm at the latest . thank you for being patient . scroll down for info on where to park . faq q  :  is this safe for women  ?  a  :  answering yes or no is not up to me . it  's up to you to decide . i sympathize if anyone feels anxious  ,  afraid  ,  and hesitant . for this  ,  they go out in groups and no volunteer should be alone . many homeless individuals are friendly  ,  grateful  ,  gracious  ,  and appreciative of the food amp  ;  water . and believe it or not  ,  sometimes more women volunteer than men . their photos are a good indication of who and how many people participate  :  totally plausible some people may feel uncomfortable going out on the streets at night and interacting with homeless individuals . distributing is completely voluntary and optional  ,  so please do  n't feel obligated or pressured . if anyone feels scared or reluctant  ,  feel free to stop and leave at anytime  (  if it  's safe to do so  )  . photos  :  monday dtla tuesday hollywood thursday venice friday dtla videos  :  if anyone wants to help  ,  their fb page has updates scroll down their fb page and usually in the afternoon  ,  they will post come out and join us...tonight... with the location amp  ;  time . or go to on the left column  ,  enter your name and email address and click on register if the register button is  n't visible  ,  try using a different internet browser that does  n't use ad blocking . if the register button still does  n't appear  ,  then download their registration form  ,  and email it back to jacquie via masked look for a calendar at the bottom of their website . click the time  (  6  :  30pm  ,  6  :  45pm  ,  etc.  )  on the respective day you want to help on  ,  and a small box should pop up . scroll down in the pop up window to confirm the location address . it should look similar to  :  if anybody arrives early  ,  the food truck should eventually show up by 7  :  00pm . traffic may cause them to be late . wearing comfortable clothes amp  ;  shoes is recommended . maybe bring a sweater jacket if it gets cold at night . children can participate with parent supervision approval. needs to be submitted upon arrival . all ingredients for making the burritos are supplied by them  (  food truck  )  . if anyone wants to contribute  ,  they appreciate donations of bottled water . if parking on a street  ,  please check posted signs meters . public bathrooms may not always be readily available or accessible  ,  so using a restroom before arriving is recommended . on thursday nights  ,  they meet on 3rd ave in venice . there  's no physical address . if using gps or a navigation app  ,  try going to the intersection of 3rd ave and rose ave  ,  venice  ,  90291 . if your gps or navigation app needs an actual address  ,  the closest thing i could find is public storage  ,  315 4th ave  ,  venice  ,  90291 . if you go to that  ,  then the next street over is 3rd ave . the food truck will go to 3rd ave  ,  between rose ave and sunset ave . if you see tarps  ,  tents  ,  and people on sidewalks  ,  then that  's probably the right area . on 3rd ave  ,  away from rose ave  ,  if you see on the side  ,  the building with orange doors  (  public storage  )   ,  then the food truck usually parks around there . parking on 3rd ave should be free...but please check signs to confirm . after serving people on 3rd ave  ,  the volunteers go in the back of the food truck . it  's a short quick ride to venice beach to serve people on the boardwalk . if anyone wants to help on another night  ,  refer to the info below . however  ,  please check their fb page or calendar for the start time and meeting location in case anything changes  :  monday dtla  ,  near little tokyo corner of 3rd st amp  ;  san pedro st.  ,  la 90013 6  :  45pm roll burritos from 7  :  00 8  :  00pm distribute burritos amp  ;  water from 8  :  00 9  :  00pm tuesday hollywood 1528 n . wilton place  ,  la 90028 6  :  45pm roll burritos from 6  :  45 7  :  45pm distribute burritos amp  ;  water from 7  :  45 9  :  00pm wednesday usc 3440 s . hope st.  ,  la 90007 5  :  30pm roll burritos from 5  :  30 6  :  30pm distribute burritos amp  ;  water from 6  :  30 7  :  30pm participation is limited to usc students  ,  faculty  ,  and alumni thursday venice boardwalk meet on 3rd ave  ,  just south of rose ave.  ,  venice 90291 6  :  45pm roll burritos from 6  :  45 8  :  00pm distribute burritos from 8  :  00 9  :  00pm friday dtla  ,  near olvera st amp  ;  union station 645 new high street  ,  la 90012 7  :  00pm roll burritos from 7  :  00 8  :  00pm distribute burritos from 8  :  00 9  :  00pm ",0.642
222395977, we go to this quiz once a month  (  first wednesday  )  and have great fun . one of these days we will climb out of the mid table and make the top 3 . all welcome to attend. ,0.436
btmjxlyvpbtb," reminder  :  if meetup sends too many emails  ,  on the bottom of their email  ,  click on unsubscribe or manage your settings or faq q  :  what is the address  ?  a  :  please read the description for instructions on how to sign up  (  e.g.  ,  email a coordinator project leader or register on a separate site  )   ,  and the respective person agency will provide additional info details  ,  such as the address  ,  where to park  ,  what to wear bring  ,  etc . q  :  why ca  n't i just show up  ?  if i sign up here on meetup  ,  why do i have to also sign up with another person or on another site  ?  a  :  multiple reasons...for example  :  even though this is posted here  (  weekly or monthly  )   ,  it  's possible it may not actually occur . the project leader may get sick . the venue location may have a special event  (  holidays or another event  )   ,  and this may be canceled . so if you sign up with them  ,  they have a way to contact you in case something changes . another reason is sometimes they have enough volunteers . some coordinators agencies do  n't mind if extra volunteers just show up  ,  but some may turn unregistered volunteers away . it can happen . i  've seen some people get frustrated because of the excess of volunteers  ,  and some people end up standing around with nothing to do  ,  so some project leaders coordinators and agencies try to limit the number of volunteers so everyone can be productive . so to avoid driving there with good intentions and finding out the event is canceled or they do  n't have room for more volunteers  ,  please respect amp  ;  follow their instructions and sign up with them . thank you . reminder  :  signing up here on meetup is insufficient . each person should also register with l . a . works . this event is with l . a . works  :  the children at midnight mission s homelight family living program look forward to every tuesday night when l . a . works volunteers spend time with them playing games  ,  doing arts and crafts projects  (  from play doh to rockets  )   ,  reading books  ,  and just having fun while their parents attend classes and counseling sessions . the seemingly simple act of interacting with the children is a highlight of their day and can be of yours too  !  read books  ,  do crafts  ,  and get active with the kids at midnight mission  's homelight family living program . note  :  even though this is posted here  ,  it  's possible this event may be canceled rescheduled  ,  or they may have enough volunteers . so if anyone wants to participate  ,  it  's important to register with l . a . works . they need to manage the number of volunteers . sign up at be a kid again  :  game night with midnight mission  's youth scroll down for the corresponding date and in the right column is a green colored plus sign . click on to expand the box and click on sign up to register with l . a . works . if it  's full  ,  maybe consider signing up for a future date that is open . photos  :  after registering with l . a . works  ,  they will provide the address and other instructions directions . apartment building  (  does not say hfl  ;  this is a confidential location  )  on north side of street with big black covered fence behind small trees . park on the street  (  if there is no street parking available  ,  please pull into the driveway and honk your horn . someone will either let your car in  ,  there are only a couple of spaces  ,  or will escort you to a place on the street  )  . walk up to the driveway gate  ,  on the left hand side is an intercom  ;  press the buzzer  ;  say hello and or front gate . the building push the call button and someone should open the gate for you . ed is the one who coordinates this event and ",0.056
9030662," dream walking and bi location class 35 dream walking is the ability to travel anywhere  ,  anytime  ,  while you sleep . the experience is dream like in quality . however unlike a dream other people who are not asleep can see you and interact with the dream walking you . this is an advanced class that requires attention to details and an on going relationship with myself your instructor . we will keep in contact after the four hour class  ,  by e mail and phone conversations as i continue to guide you in your dream walking for two months . unlike the other one day classes at crystal voyage there will be homework . it will be easy  ,  i am sure you can do the homework in your sleep . the last time i dream walked was in june of this year . my advanced class was working on this subject and i joined the exercise though not with the same goals . the class goal was to take a key i have in my yard and put in on my deck . we met with varying degrees of success  ,  though i have had to replace the key as it s not in the yard and not on my deck . my dream walking goal was to find new students . having just received a new shipment of thunderbird necklaces for my graduating students i discovered a rare turquoise thunderbird mixed in my order . following a dream message i claimed it for my own . that night before i went to sleep i admired it before turning out the light . setting my will and intent i went to sleep . i dreamed a strange dream that night . i was at a coven meeting and the members were sharing stories about stones with each other . in my dream state i was accepted as though i belonged there and told the people about my new thunderbird necklace . i shared what it is to be shaman and other details about who i am . when i woke up i felt elated  ,  the dream like event stayed in my mind like an actual event . so much so that i called a friend of mine and shared it . november 6th 2005 i started a new beginner class in belfair wa . we started at 6  :  00 p . m. and i felt there would be more people arriving . at 7  :  00 p . m. two more students arrived and we journeyed for power animals . at our break i could not keep from looking at one of my late students  ,  she was familiar and yet i knew that i had not physically met her before . i told her this and she said  ,  of course i am familiar we met three months ago at a coven meeting . she related the details about my thunderbird and what i had said about myself . continued on back.. . i had not known what city i had dream walked in until she told me the coven meetings location in lacey wa . this meeting occurred on a friday while i was also teaching a class  ,  and thus qualifies as a bi location as i was seen  ,  heard and interacted with while simultaneously at another location . i don t normally dream walk to recruit students  ,  this time i am very happy about doing so  ,  as this student is going to be one of the best ever . if your ready to be your best and dream walk to make your life even better  ,  then join my class and be guided on one of the most powerful adventures a living human can make . there are many of you who think you can t do this  ,  its only legends and probably only the most powerful who can dream walk . i know anyone who has the will to dream walk can . though not as easy as journey it is an attainable skill you can use when you need it  ,  or just to expand your life experience . get ready to have some fun  !  if you ca  n't see the paypal button go to www.paypal.com and hit the tab to send money . send 35 to masked copy that address and paste it into the field . have found out that paypal can send money to a holding zone for an address that it does  n't know . when paypal sends me your payment confirmation i will send you the phone number  ,  code and class handout . thank you wwt ",0.568
14360204," hello meetup members  ,  want to get the inside scoop on how to live your performing dream  ?  there  's so much more to a successful career than talent and craft . if you are  n't getting the results you want  ,  and you  're willing to do what it takes to create a thriving career  ,  i  'd like to invite you to join us and our fellow guest experts online for the  :  2010 live your dream actors telesummit monday august 23 friday august 27  (  once you register you  'll receive call in  (  718 area code  )  or web cast  (  click on a link to listen  )  details  )  calls are at 4pm and 7pm eastern standard time so...1pm and 4pm pacific standard time hosted by emily grace over at the reiki scene  ,  this powerful group of industry experts  (  including yours truly amp  ;  my partner brian vermeire  )  are committed to empowering performers to take their career into their own hands . the week long telesummit will cover everything you need to know to take your talent and training and turn it into a successful career . from dissolving audition anxiety  ,  to handling your finances  ,  to getting known by the industry  ,  and everything in between . this program will get you moving toward what every performer really wants a sustainable  ,  lucrative career . go here  :  ... to see the full series of calls . and you want to know the best part  ?  it  's completely free . so you really have nothing to lose by making the decision to receive this advice . we  'll be giving a powerful call titled  :  4 ways to fast forward your career focus and we know you do  n't want to miss out  !  our call will be broadcast on monday august 23 at 7pm eastern and we personally invite you to join us  !   (  psst...register now before you forget  )  . here  's the link  :  ... to stop wishing and start living your dream  !  some other industry experts include  :  miata edoga  (  meetup member and holdon log seminar partner  )  dallas travers  (  holdon log seminar partner  )  jack plotnick caroline donahue ungenita prevost nick coleman dava casoni and martina lotun ari gold emily grace sign up today  ,  add the dates and times of the call web cast in your performertrack calendar so you do  n't forget and follow up with me to let me know how you benefitted  !  if you are an entrepreneur or non performer in the biz  ,  i encourage you to join in too . you will gain insight and knowledge that you can take action on asap too  !  best  ,  kristina kristina hughes  ,  president holdon log p . o . box 36862 los angeles  ,  ca 90036 proudly celebrating our 10th anniversary in 2010  !  holdon log the standard in performer organizational tools www . holdonlog.com performertrack webware simplifying the business of show www . performertrack.com follow us  :  .. . join us  :  .. . ps remember the cost to listen is free  !  register ... ",0.052
dhqcmjyslbhc," we have recently started a beginners soul linedance class at community lutheran church of los angeles which meets every monday night from 7  :  30 to 8  :  30pm come on out and have a good time  !  the class starts off with a stretch before beginning the steps . since this is a basic beginners class  ,  you will learn basic steps like the walks  ,  rocks  ,  vines  ,  sailors  ,  turns  ,  weaves  ,  pivots  ,  and cha chas . we will make sure that you get the steps before moving on to something more challenging . our motto is no fault line dancing . we  're just there to have a good time  ,  enjoying the soul music along with learning the steps . we end the class with a stretch and a prayer . the church is located at 650 east 135th street in los angeles  ,  90059 . you can park behind the church in the large parking lot or on the streets around the church . once parked  ,  come to the fellowship hall area . class cost is 5.00 ",0.04
226383485," usually once a month  ,  visits children at orphanages in mexico . this is a unique event and involves traveling to another country  ,  so please read carefully all their details and requirements . the cost is 50 and it covers transportation  ,  food  ,  and other supplies . there are 3 pick up  (  and drop off  )  locations los angeles  ,  irvine  ,  and san diego . the majority of time is spent on the bus . the approximate time at the orphanage is about 3 hours or so . it  's up to you to decide if it  's worth the and time . personally  ,  i  've gone a few times and it was an eye opening and heart warming experience . the kids are fun to play amp  ;  interact with . speaking spanish is not required . since this is in mexico  ,  having a u . s. passport and or other legal documentation is required for re entering the country . if interested  ,  peruse the links below for more details info . if interested  ,  click on the links below to register amp  ;  submit payment and secure your spot on a bus . the following are the buses orphanages to choose from  :  bus 1 amp  ;  2 will pick up  (  and drop off  )  in los angeles  ,  irvine  ,  and san diego . bus 3 will pick up  (  and drop off  )  in irvine and san diego . bus 4 will pick up  (  and drop off  )  only in san diego . additional info details can be found on the respective websites links . questions can be answered by contacting them via masked lt  ;  a href http  :  www.corazondevida.org trips events cdv trip faq gt  ;  lt  ;  a gt  ;  photos  :  videos  :  ",0.578
84683462," join southern california  's best wednesday night hike  !  we proudly boast more then 4 1 2 years of a traditional wednesday night hike up to echo mountain missing only a few days when circumstances would not permit a safe and pleasant hike . many people have ventured up to join the happy hour potluck . please r . s . v . p if you believe you will be joining this hike and post what time you are planning to start it encourages others to join . seeing as we do not meet as a group at the beginning of the hike it is best to try to find others who can hike up at the same time so no one hikes alone . hikers usually head back down in two or three different groups anywhere between about 8 and 9pm  (  some a little earlier  )  . newcomers please read first timers and what to bring sections below so you do  n't wind up on the wrong trail or be left in the dark . we do not gather and hike up as a group due to different hiking abilities and arrival times . many people post their anticipated start time making it easy to form smaller groups for the trip up . you can use this website to communicate . the sun will set at 6  :  24pm and there will be about another 25 minutes of twilight . hikers go up at different times  ,  depending on when they can get to the trailhead . it is easy for hikers to get to the top before the sun sets . there will be no visible moon tonight . evening temperatures are fairly mild at this time of year  ,  but many folks bring a dry top to change into for comfort the hike  :  we follow the  (  lower  )  sam merrill trail up the east wall of las flores canyon to echo mountain and ruins of the former white city . this is a moderate hike of about 2.6 miles up with about a 1400 ft. elevation gain and 2.6 miles down on a very well maintained trail . this is not a hike for beginners . we do this hike every week weather permitting and it just keeps getting better . people start out at different times between about 5  :  00 and 6  :  30  (  some even start earlier  )  . average time up is about 1 hour to 1 1 4 hours  (  slower hikers may take 90 minutes almost everyone makes it back down in about an hour  )  this is a go at your own pace hike so almost anyone with some hiking experience can make it . post your anticipated time to start this gives people the opportunity to form groups to hike up together . most people bring up something to share such as a bottle of wine  ,  cheese  ,  deli meats  ,  fruit  ,  beer  ,  etc. etc . you could  n't meet a nicer group of people  ,  so if its friends that you are looking for  ,  this hike is it  !  the warm  ,  friendly party atmosphere at the top has become a highlight to a lot of our work weeks  ,  so if you are into great company  ,  food  ,  drinks  ,  historic hotel ruins and fantastic views than come on up  ,  you will love it.  !   !   !   !  first timers  :  you may locate the trailhead on google maps by entering 3388 lake ave . altadena  ,  ca 91001 . if you are not hiking with someone who is familiar with the trail  ,  please read this carefully . as you reach the top of the paved road where it turns  ,  do not turn there is a sign that says trail with an arrow pointing to the right follow this and you will pass a water fountain on your left . continue to the edge of the canyon and take the trail to the left do not descend into the canyon here follow the trail around the edge of the canyon  ,  descending behind the debris dam and up the far side following the trail to the left . as you ascend  ,  you want to be able to look across los flores canyon towards where the sun set  (  or is setting  )  . you are about 1 2 way as you pass under the power towers . when you reach the junction after about 2.5 miles  ,  go to the right slightly downhill a few hundred feet to the echo mountain house ruins . what to bring  :  out of concern for the environment  ,  please bring a reusable cup or non breakable glass for your beverage  ,  good hiking shoes  ,  water  ,  maybe a wind breaker or similar  (  some folks bring something dry to change into  )  it is best to layer . also  ,  something to share for the pot luck  ,  and a headlight or flashlight for hike down  ,  even when there is moonlight  ,  there are areas of the trail that are in the shadows . in windy conditions  ,  we gather at the picnic grounds on the left side of the trail just before the echo mountain house ruins . directions  :  take the 210 fwy towards pasadena  ,  get off on lake ave.  ,  go north until lake ave. ends . on the right side where it ends is the gate to the former cobb estate and the road leading to the trail head . the best parking is when you turn left at the end of lake onto loma alta dr . park on loma alta as the unrestricted parking is to 10 pm you will get a ticket on lake parking is only until 8pm . parking off loma alta on monterosa or marengo is unrestricted . post what time you  'd like to go up and form your own groups . everyone be safe and try to hike with someone . the organizer  ,  assistant organizers and event hosts in this group are not professional guides . the function of the organizer is only to organize the trip . each person who signs up for a trip meetup or outing is responsible for his or her own safety and the safety of his or her guests . by signing up for a hike  ,  or any other event organized by this group  ,  you are acknowledging. that you are aware and have made your guests aware of the risks  ,  dangers and hazards associated with any outdoor activity and freely accept and fully assume all such risks  ,  dangers and hazards  ,  and further agree to release and discharge the organizer  ,  assistant organizers and event hosts of this meetup group from and against any and all liability arising from your and your guest  's participation in the group activities. ",0.622
qvjxnynnbnc," are you absolutely new to medical qigong and or are you new to our meet up group  ?  or do you just want to spend more time learning the golden eight that we practice in the beginner class  ?  take this weekly intro class to get acquainted with this ancient art of healing and self cultivation that integrates body  ,  mind and spirit . each week we will focus on one of the eight exercises in the golden eight series . you  'll learn the form  ,  the breathing and the health benefits . taking this class will help you catch up with the more experienced beginner students so that you can comfortably join our beginner class as well . you can take this intro class and the beginner class together . so what  's the difference between the intro class and the beginner class  ?  the intro class is really just the early portion of the beginner class when we were focusing on learning each form . i realize there is a need for additional instruction time  ,  especially for new comers so they do  n't feel lost . the beginner class  ,  on the other hand  ,  focuses on practice . we spend more time practicing together  ,  and refining our movements  ,  minds and spirits . this intro class is scheduled right before the beginner class so you can take both on the same day. 5 per class . if you take it with the beginner class  ,  it is 12 per day  (  normally 15  )  location  :  the learning garden  ,  venice  ,  ca what is medical qigong  ?  medical qigong are holistic exercises  (  body mind spirit  )  that have been developed  ,  refined and practiced in china for thousands of years . they are used for whole body wellness  ,  disease prevention  ,  longevity  ,  healthy aging and self healing . the exercises are simple  ,  easy to learn  ,  and gentle on the body . they can aid the body s healing process  ,  strengthen the immune system  ,  calm the mind and balance the emotions . most people can practice qigong regardless of age or physical fitness . where is the learning garden  ?  the learning garden is located on the southeast corner of venice blvd. and walgrove in venice  ,  ca . it is next to venice high school . entrance to the garden is on walgrove . street parking is available on walgrove and on venice . if the gate looks closed  ,  it  's not locked . just pull up the lever and push to open the gate . if you are lost  ,  please give me a call  :  masked 8645. ",0.62
